24689,Nokia E72 (250 MB- WiFi + 3G- Topaz Brown),499,http://cf3.souqcdn.com/item/42/30/04/7/item_L_4230047_1143066.jpg,Mobile Phones,Nokia,/products/24689
24532,Apple iPhone 4 32 GB Black,897.86,http://cf1.souqcdn.com/item/2013/04/28/49/29/28/item_M_492928_1909200.jpg,Mobile Phones,Apple,/products/24532
24533,Nokia 8800 Sirocco (128 MB- Gold),1450,http://cf5.souqcdn.com/item/2013/04/07/48/51/41/item_M_485141_1806204.jpg,Mobile Phones,Nokia,/products/24533
24534,HTC T320E ONE V (4 GB- WiFi- Grey),400,http://cf1.souqcdn.com/item/2013/04/29/46/00/46/2/item_M_4600462_1911516.jpg,Mobile Phones,HTC,/products/24534
24535,Apple iPhone 4 (32 GB- WiFi 3G- White),999,not available,Mobile Phones,Apple,/products/24535
24536,Nokia 8600 LUNA,799.99,http://cf3.souqcdn.com/item/64/54/45/item_L_645445_704289.jpg,Mobile Phones,Nokia,/products/24536
24537,Nokia E90 ( WiFi ),950,http://cf5.souqcdn.com/item/2013/04/28/64/57/52/item_L_645752_1908246.jpg,Mobile Phones,Nokia,/products/24537
24538,Nokia N8-00 (16 GB- WiFi 3G- Dark Grey),566.66,not available,Mobile Phones,Nokia,/products/24538
24539,Samsung N7000 Galaxy NOTE 16GB ( WiFi ),799,http://cf3.souqcdn.com/item/2013/04/29/46/00/54/0/item_L_4600540_1911669.jpg,Mobile Phones,Samsung,/products/24539
24540,Nokia 6120 Classic (32 MB- Black),249,http://cf4.souqcdn.com/item/2013/04/28/48/09/90/item_M_480990_1904612.jpg,Mobile Phones,Nokia,/products/24540
24541,Nokia 6700 Classic (170MB- WiFi 3G- Gold),624,not available,Mobile Phones,Nokia,/products/24541
24542,Nokia 6600 FOLD,384,http://cf3.souqcdn.com/item/48/27/90/item_L_482790_703011.jpg,Mobile Phones,Nokia,/products/24542
24543,Nokia C3-01 Touch AND TYPE ( WiFi ),294,http://cf2.souqcdn.com/item/2013/04/28/48/95/48/item_L_489548_1907531.jpg,Mobile Phones,Nokia,/products/24543
24544,Nokia N97 MINI ( WiFi ),539,http://cf3.souqcdn.com/item/49/23/67/item_L_492367_703831.jpg,Mobile Phones,Nokia,/products/24544
24545,Nokia 6120 Classic - 32 MB- Pearl White,234,http://cf5.souqcdn.com/item/2013/09/10/57/41/24/7/item_M_5741247_2914729.jpg,Mobile Phones,Nokia,/products/24545
24546,Nokia 3100,49.99,http://cf3.souqcdn.com/item/64/51/77/item_L_645177_704056.jpg,Mobile Phones,Nokia,/products/24546
24547,Samsung I 9000 Galaxy S 16 GB ( WiFi ),479,http://cf5.souqcdn.com/item/49/29/83/item_M_492983_703897.jpg,Mobile Phones,Samsung,/products/24547
24548,Nokia 6230I,313,http://cf3.souqcdn.com/item/2013/04/28/47/58/90/item_L_475890_1902081.jpg,Mobile Phones,Nokia,/products/24548
24549,Nokia Lumia 900 (16GB- WiFi 3G- Blue),839,http://cf1.souqcdn.com/item/2013/04/29/46/00/39/9/item_M_4600399_1911552.jpg,Mobile Phones,Nokia,/products/24549
25444,Nokia 3120,39.99,http://cf4.souqcdn.com/item/47/55/77/item_L_475577_702411.jpg,Mobile Phones,Nokia,/products/25444
24067,BlackBerry Q5 (8 GB- WiFi + 4G- Black),900,http://cf5.souqcdn.com/item/2013/07/03/54/34/73/7/item_M_5434737_2287078.jpg,Mobile Phones,BlackBerry,/products/24067
24068,BLACKBERRY Q10,998,http://cf4.souqcdn.com/item/2013/06/01/53/26/47/7/item_L_5326477_2115269.jpg,Mobile Phones,Blackberry,/products/24068
24069,Samsung Keystone 2 ( 2  ),79.56,http://cf2.souqcdn.com/item/2013/05/14/51/97/03/2/item_L_5197032_1991089.jpg,Mobile Phones,Samsung,/products/24069
24551,Nokia 6600 DATA Medium,219,http://cf1.souqcdn.com/item/47/73/68/item_L_477368_702563.jpg,Mobile Phones,Nokia,/products/24551
24552,Sony Xperia ion LT28H (13.2 GB- WiFi- Black),740,http://cf3.souqcdn.com/item/2013/04/14/46/77/12/6/item_L_4677126_1850963.jpg,Mobile Phones,Sony,/products/24552
24828,S COLOR N9 Mobile Phone Watch- 32MB- Single camera,199,http://cf3.souqcdn.com/item/2014/08/24/72/16/97/7/item_M_7216977_5453349.jpg,Mobile Phones,others,/products/24828
24066,Nokia Asha 502 White ( Dual Sim ),199.16,http://cf5.souqcdn.com/item/2014/01/22/65/54/09/3/item_L_6554093_4065655.jpg,Mobile Phones,Nokia,/products/24066
24821,Z6 Mobile Phone Blue Sports Car Shaped phone,119,http://cf2.souqcdn.com/item/2014/08/24/72/18/11/3/item_M_7218113_5455018.jpg,Mobile Phones,others,/products/24821
24822,Z8 Mobile Phone White Sports Car Shaped phone,119,http://cf5.souqcdn.com/item/2014/08/24/72/18/10/9/item_M_7218109_5455009.jpg,Mobile Phones,others,/products/24822
24823,Z8 Mobile Phone Blue Sports Car Shaped,119,http://cf3.souqcdn.com/item/2014/08/24/72/18/10/3/item_M_7218103_5454997.jpg,Mobile Phones,others,/products/24823
24824,Z8 Mobile Phone Gold Sports Car Shaped,119,http://cf4.souqcdn.com/item/2014/08/24/72/18/10/1/item_M_7218101_5454988.jpg,Mobile Phones,others,/products/24824
24825,Z6 Mobile Phone Red Sports Car Shaped Phone,119,http://cf2.souqcdn.com/item/2014/08/24/72/18/09/5/item_M_7218095_5454972.jpg,Mobile Phones,Others,/products/24825
24826,Z6 Mobile Phone White Sports Car Shaped Phone,119,http://cf4.souqcdn.com/item/2014/08/24/72/18/09/0/item_M_7218090_5454963.jpg,Mobile Phones,OTHERS,/products/24826
24827,Z8 Mobile Phone Red Sports Car Shaped Phone,119,http://cf4.souqcdn.com/item/2014/08/24/72/18/08/3/item_M_7218083_5454945.jpg,Mobile Phones,others,/products/24827
